douban_id,title,directors,scriptwriters,actors,types,release_region,release_date,alias,languages,duration,score,description,tags
1308145,"梦幻强尼 Johnny Suede","汤姆 迪西罗 (Tom DiCillo)",汤姆·迪西罗,"布拉德·皮特 Brad Pitt,凯瑟琳·基纳 Catherine Keener,塞缪尔·杰克逊 Samuel L. Jackson","喜剧,爱情,音乐","法国,美国,瑞士",1991-09-09,旧欢如梦,英语,"Spain: 95 分钟",6.2,JohnnySuede（BradPitt饰）整天幻想着成为像50年代青少年偶像那样的摇滚明星，思想全然与现实脱节。他的行头差不多已经齐全，只差一双黑色麂皮鞋。某天，一双黑色麂皮鞋神奇的从天而降落到他的脚上。不久，他同波西米亚女子Darlette（AlisonMoir饰）好上了，天天幽会。但当Johnny迫于生计当掉了吉他后，Darlette就神秘地弃他而去。朋友Deke（CalvinLevels饰）帮助他赎回了琴，两人组了一支乐队。此后Johnny邂逅成熟女子Yvonne（CatherineKeener饰），教会了他许多人生的道理，让他明白，生活中有许多东西远比一双黑色麂皮鞋重要得多……,"BradPitt,布拉德·皮特,美国,美国电影,1991,TomDiCillo,旧欢如梦,爱情"
1308144,"三剑客 Frère du guerrier, Le",皮埃尔·祖利维,皮埃尔·祖利维,"文森特·林顿,吉约姆·卡内,梅兰妮·杜迪",NULL,法国,2002-03-13,"战士的兄弟,兄弟归来",法语,"115 分钟",,本片通过一个真实的历史背景深刻的描述了人间最可贵的亲情、友情、爱情，深刻的人物描写是本片的精华所在。值得一提的是，本片选景秀美壮丽，而忧伤宏壮的背景音乐更加衬托出影片所要表现出的人世间最真实美好的一面。,"法国电影,GuillaumeCanet,法国,动作,Guillaume,温情,Canet,激烈"
1308143,"舐血青春 Dead Punkz","Herb Freed","Herb Freed",NULL,剧情,美国,2000-06-27,,英语,0,,,
1308142,"San Miniato, luglio '44",保罗·塔维亚尼,保罗·塔维亚尼,NULL,"剧情,短片",意大利,1954,圣米尼阿托：44年7月,意大利语,0,,,"D塔维亚尼兄弟,M意大利,Taviani_Brothers"
1308141,"海夫纳外传 Hefner: Unauthorized (TV)",彼得·维纳,"J.B. White",NULL,剧情,美国,1999-12-08,,,0,,,
1308140,动词变位,唐晓白,唐晓白,"钱宇,赵虹,田宇",剧情,香港,2002-04-06,Conjugation,汉语普通话,97分钟,0,"故事发生在1989年的北京，郭松刚刚大学毕业，前途尚且处于一片混沌之中，带着这样的迷惘，他被分配到一间工厂里成为了工人，这让郭松感到十分沮丧。郭松和女友晓青住在一起，一片小小的天地容纳着两个人的喜怒哀乐，然而，郭松内心里那日益巨大的空洞让他无法忽视，跟随着飘渺的诗句，他的灵魂渐行渐远。

　　那一年，除了郭松外，似乎所有的人都面临着人生的选择。大学老师放弃了教书下海从商，从此脑海里只剩下金钱和利益。小四试图无视内心里对于父母的愧疚之情，放弃一切，一心想要出国镀金。冬天还未真正来临，关于夏天的回忆却已经渐渐淡去。",
1308139,"黑色逃亡夜 Night of the Running Man",马克·L·莱斯特,"Lee Wells (I)",NULL,"动作,惊悚",美国,1996-03-09,赌命威龙,英语,"93 分钟",,"故事梗概：

　　赌城一向是罪案的温床，赌场经理艾瑞克亏空巨额公款，却意外被老板得知此事。为追回失款，老板派杀手大卫·艾克追杀艾瑞克。艾瑞克仓皇中搭乘谢利·罗根的出租汽车慌忙逃走，却最终没有躲过丧命的噩梦，随身携带的装有一百万美元的公事包则落到了罗根的出租车内。罗根一时贪念，便不自拔的卷入这个旋涡，令自己成为了这次追杀目标。

　　为了躲过对方的追杀，罗根立即启程去罗湖城避难，但初生牛犊的他无意间向女招待透露了自己的去向。不但给女招待带来杀身之祸，更向杀手大卫暴露了行踪。大卫一路追踪而去，在盐湖城的飞机场把罗根堵了个正着。在大卫眼里，杀一个普通的出租车司机不过是小菜一碟。谁知罗根也不是省油的灯，一番较量后，罗根轻松地从大卫眼皮子底下溜走。大卫并不慌忙，在罗根的目的地——纽约，他还有自己的合作伙伴。

　　果然，罗根一下飞机就被当地的黑手党首领米尔抓住。不但把他囚禁起来...","美国,美国电影,动作,1995,情色,90s,欧美"
1308138,"托多·莫多 Todo modo","埃里奥贝多利 (Elio Petri)","Leonardo Sciascia","Marcello Mastroianni",剧情,"意大利,法国",1977-01-19,,意大利语,"120 分钟",,"Atafictitiousgatheringofthekeymembersoftherulingclassinthe“CentreforSpiritualExercise”,overahundredbankers,companypresidentsandmembersofthegovernmentmeettodiscusstheirstrategyforthefuture.Beforetheconventionisover,theallmysteriouslydie,oneafteranother,inspiteofmassivepoliceinvestigation…","意大利,意大利电影,1976,Elio_Petri,ElioPetri,电影,被忽视的片子,已下"
1308137,"浮生若舞 The Company",罗伯特·奥特曼,"Barbara Turner","内芙·坎贝尔,马尔科姆·麦克道威尔,詹姆斯·弗兰科,Barbara E. Robertson,William Dick","剧情,爱情,音乐","美国,德国",2003-12-25,"芭蕾人生,芭蕾舞团,舞者,舞动世纪",英语,"Canada: 112 分钟(Toronto International Film Festival)",7.3,"从小时候起，蕾（内芙·坎贝尔NeveCampbell饰）就展现出了在舞蹈方面的过人天赋，长大之后，蕾如愿成为了一名芭蕾舞者，并且加入了著名的芝加哥芭蕾舞团。然而，想在这一行业里出人头地，光有技术还远远不够。没过多久，锋芒毕露的蕾就遭到了同行的排挤，与此同时，蕾对于芭蕾艺术的探索亦走入了瓶颈。

　　坚强的蕾凭借着自己的努力和坚持最终成为了首席领舞，但是，事业上的成功却并没能带给蕾快乐。正相反，强大的工作压力和人们期望的眼神令蕾感到快要无法呼吸，为了排遣心情，蕾来到一间餐厅，在那里当服务生减压。工作中，蕾结识了名为乔治（詹姆斯·弗兰科JamesFranco饰）的男子，两人之间产生了一段浪漫的情缘。","芭蕾,舞蹈,美国,美国电影,JamesFranco,歌舞,罗伯特·奥尔特曼,电影"
1308136,"黑色迷墙 Hei se mi qiang",刘家勇,,"吴启华,甄楚倩,刘兆铭,何沛东",NULL,香港,NULL,"The Black Wall",粤语,0,,"《黑色迷墙》是第一部香港出品的三级血腥电影。

　　阿邦的叔父是警探阿六，他非常宠爱阿邦。阿邦是黑帮头目二爷属下的杀手。他和二爷手下另一头目丧亨不和。因丧亨贩毒，阿邦憎恨贩毒。

　　阿邦爱上了被丧亨抛弃的歌星阿芳，她跟丧亨前，他们曾经相爱过。

　　二爷在丧亨的主使下，蒙骗阿邦去刺杀阿六，还杀死了阿芳和他的手下。阿邦悲愤之极，即往找二爷和丧亨算帐。结果他先后把二爷和丧邦杀了。替叔报仇。","香港,香港电影,Beyond,犯罪,吴启华,甄楚倩,cult,港片"
1308135,"星际暴劫 Velocity Trap","菲利浦 J. 罗斯 (Phillip J. Roth)",,"奥利弗·古鲁内尔,艾丽莎·科波拉,乔雅·福克斯,布鲁斯·维茨","动作,科幻",美国,1999-02-22,佣兵传说,英语,"USA: 86 分钟",,剧情　　公元2150年，国防部指控探员史度雷谋杀同僚，派他往联邦太空船负责押送四百亿美金回地球。航行中途，域莱地域突然出现一颗行星，阻碍太空船航道，两个小时后便会相撞。正当史度雷急于改变航道之际，有一帮匪徒拦途截劫，迫使太空船降落。到底史度雷能否赶走匪徒保住四百亿？太空船会否安全返回地球？,"科幻,烂片,电影,动作,垃圾,美国,经典老片,绝对一星"
1308134,"巴雷特修女 Say Amen, Somebody","George T. Nierenberg",,"DeLois Barrett Cambell,Thomas A. Dorsey,Billie Barrett Greenbey","纪录片,音乐",美国,1982-09-12,,英语,"100 分钟",,GeorgeT.Nierenberg导演的一个记录片，记录了芝加哥巴雷特修女们的快乐生活，片中大量的福音音乐令人沉醉，导演本人也参与了记录片的演出。,"纪录片,美国,美国电影,music,1982,CJG,9,电影"
1308133,海上明珠,"王好为 (Haowei Wang)",张相林,"王苏娅,陈强,鲍惠萍,马琳,丁绍康",剧情,中国大陆,NULL,"Hai shang ming zhu",汉语普通话,0,5.6,"中文名海上明珠

　　出品时间1976年

　　出品公司北京电影制片厂

　　制片地区中国大陆

　　拍摄地点山东烟台

　　导演林扬王好为

　　编剧张相林

　　类型剧情

　　主演王苏娅，陈强，鲍惠萍，马琳，丁绍康

　　片长90分钟

　　上映时间1976年

　　对白语言普通话

　　色彩彩色

　　1974年春，对于凌燕子来说，这天是个好日子。她要嫁到凤凰岛去作新媳妇，结婚途中，她发现副业队长崔民正在非法倒卖尼龙丝线，凌燕子揪住他不放。凌的公公郭老大是大队党支部书记，他认为崔民是在为集体增加收入，这种做法无可厚非，并且支持崔民用船来跑运输。燕子到凤凰岛后，在公社周书记的支持下，勇敢地承担起养殖队长的担子，把船用来种植海带，建造海上大寨田。崔民勾结渔霸小老婆孙金环的堂兄弟，策划以鲜鱼换机器，使不明真相的郭老大受骗。燕子贴大字报，及时揭露了崔民的阴谋诡计。崔民为了搞垮...","政治,中国,老电影,中国电影,王好为,文革电影,1976,差"
1308132,"朱利亚尼 Rudy: The Rudy Giuliani Story (TV)",罗伯特·多恩海姆,"斯坦利 韦泽 (Stanley Weiser)",詹姆斯·伍兹,剧情,美国,2003-03-30,纽约市长——鲁迪·朱利安尼,,0,,"强势领导才能,非凡危机管理,触觉敏锐,坚毅信念,作风果断。911风云人物;前纽约市长朱利亚尼幕后传奇搬上银幕。朱利亚尼由艾美奖得主占士活斯饰演,凭著其精湛演技，让全球观众更了解这位被「时代周刊」选为「年度风云人物」的政冶生涯及其英勇事迹！","美国,911,传记,人物,Biography"
1308131,成记茶楼,桂治洪,司徒安,"陈观泰,叶灵芝,李鹏飞,杨志卿 Chih-Ching Yang,林甦,李寿祺,张作舟,刘午琪,江可爱,陈美华,简慧玲,江洋,杨泽霖,彭鵬,梁尚云,西瓜刨,林风,唐忠信,吕小龙,麦锦辉,郭大卫,司徒,夏萍,吕红,沈劳,佟林,詹森,王赞先","剧情,动作,惊悚,犯罪",香港,1974-10-19(香港),"The Teahouse",汉语普通话,101分钟,7.0,大哥成（陈观泰饰）为人豪迈，而且乐于助人，与江湖上的很多人都有交情。他和朋友合资经营着一间“成记茶楼”，以此为生。大哥成常常路见不平、拔刀相助，虽然他不是江湖中人，却也解决了不少江湖上的纷争，深得黑道人士的敬重。本以为经营茶楼安安乐乐的过日子，然而警方却找上门来，他们得知大哥成和很多江湖中人有交情，于是勒令他交出黑社会分子的名单。大哥成深知若果交出名单，自己则永远没有好日子过，所以一直拖着。另一方面，黑社会大哥则乘机要拉拢大哥成加入组织。大哥成虽然染有很重的江湖习气，但他为人正义，非法犯罪的事他绝不会干，所以黑社会那边也一直拖着。如今进也不是，退也不是，大哥成最终会如何解决？,"邵氏,桂治洪,香港,陈观泰,香港电影,1970s,1974,剧情"
1308130,"少女小渔 少女小漁",张艾嘉,张艾嘉,"刘若英,庹宗华,丹尼尔·J·特拉万提,Marj Dusay",剧情,台湾,1995-09-11(多伦多电影节),"Siao Yu","汉语普通话,英语,粤语",104分钟,7.9,"为了帮半工半读的男友江伟（庹宗华）分担压力，小渔（刘若英）从中国非法来到纽约做劳工，江伟急于摆脱生活的困境，说服小渔同现居纽约的意大利老头Mario（DanielJ.Travanti）假结婚，以便取得绿卡后自己也能入籍。

　　Mario表面看来是欠了一屁股赌债的潦倒赌鬼，却有既风光又无奈的过去，小渔对他的身世了解后，开始对其进行无微不至的照顾，而Mario也被小渔的单纯打动，重新执笔开始写作，两人渐生界于父女与情人之间的微妙感情。当小渔终获绿卡时，Mario的身体状况变得非常糟糕，小渔不忍别他而去想留下再照顾他一段时间，遭到江伟的竭力反对，小渔走到选择的关口。","刘若英,张艾嘉,台湾,台湾电影,李安,文艺,少女小渔,爱情"
1308129,赌侠大战拉斯维加斯,王晶,王晶,"刘德华,张家辉,陈百祥,林熙蕾,郁芳,万梓良,李菲,王晶,南燕","喜剧,动作",香港,1999-08-05(新加坡),"The Conmen in Vegas","粤语,普通话,英语","93 分钟",6.2,"合力击败马交文之后，king（刘德华饰）与化骨龙（张家辉饰）联合化骨龙的表哥阿叻（陈百祥饰）骗取了恶人大眼文一笔钱。当他们打算享受一番之际，大眼文把化骨龙抓走了。King与阿叻则被警方带到与中方高层见面，他们被派往拉斯维加斯捉拿大老千Peter朱（万梓良饰）。为了得到巨款拯救化骨龙，king接受了这次任务，前往拉斯维加斯。

　　在拉斯维加斯，小心（郁芳饰）与阿扁（林熙蕾饰）一心想找到金龟婿，后来加入了king的老千行列。终于他们遇到了Peter，两人互相欺骗更多次交手，敌意渐生。

　　King用阿扁做饵勾引Peter成功，他们经由沙漠公路到洛杉矶，途中Peter极力逃脱。众人在沙漠奋力搏斗。Peter的手下竟然用直升机拯救，幸好king神机妙算，顺利把Peter带回香港。","香港,刘德华,喜剧,王晶,香港电影,张家辉,1999,陈百祥"
1308128,"前世恨未了 Haven't We Met Before? (TV)","René Bonnière",,NULL,惊栗,加拿大,2002-03-27,,,0,,,HOW'S-D5
1308127,"鲸骑士 Whale Rider",妮琪·卡罗,妮琪·卡罗,"凯莎·卡斯特-休伊斯,拉维里·帕拉特恩,薇姬·浩顿,克利夫·柯蒂斯,格兰特·罗阿","剧情,家庭","新西兰,德国",2003-01-30(新西兰),"鲸鱼骑士,驭鲸少女,Te kaieke tohora","英语,毛利语","101 分钟",8.1,"佩（凯莎·卡斯特-休伊斯KeishaCastle-Hughes饰）是新西兰海岸上古老部落的酋长孙女。母亲曾经诞下龙凤胎，但不幸她和男婴都死去了，心灰意冷的父亲远走他方，剩下孤女佩给祖父母抚养成人。

　　奶奶非常疼爱佩，而酋长寇罗（拉维里·帕拉特恩RawiriParatene饰）却一度认为孙女是不祥之人。现今更令寇罗头痛的是继承人的问题。这个部落的有着严格的信条：继承人必须是男性。而眼看自己的儿子无法继承家业，寇罗万分苦恼。他从族人中间选出壮健男子，希望可以培养成为领袖，结果很不如意。而他的孙女佩，却在练习各式武艺，一心要接过爷爷的担子。

　　寇罗却执意遵从族人规条，不允许女性当上领袖位置。直到一条鲸鱼搁浅在此处的海岸，事情才开始峰回路转。佩凭着出色的勇气和能力，让爷爷改变了决定。","新西兰,成长,大海,亲情,剧情,德国,2002,电影"
1308126,"戏说红伶 Jackie's Back! (TV)",罗伯特·汤森德,"Dee LaDuke",NULL,喜剧,美国,1999-06-14,,,0,,,
1308125,洪拳小子,张彻,张彻,"傅声,戚冠军,冯克安,江图,黄虾","剧情,动作",香港,1975-06-28,"Disciples Of Shaolin",汉语普通话,"Hong Kong: 106 分钟",6.9,本片为已故功夫巨星傅声的代表作之一，合演的包括戚冠军、江岛及卢迪。剧情讲述关风义(傅声饰)洪拳造诣极高，经师兄黄汉(戚冠军饰)介绍，在兴发隆布厂当杂工。黄汉时常谆谆告诫关风义，千万别显露自己会武功，以免招惹麻烦。关风义并没有将黄汉的话记在心里，反而因多次暴露身手，成为两家敌对布厂斗争中的牺牲品……,"张彻,邵氏,香港,傅声,香港电影,动作,武侠,1975"
1308124,"灾难被提 The Rapture",迈克尔·托尔金,迈克尔·托尔金,"咪咪·罗杰斯,大卫·杜楚尼,Darwyn Carson","剧情,悬疑",美国,1991-09-06,"全神贯注（暂译）,摄魂",英语,"100 分钟",6.2,"沙龙（咪咪·罗杰斯饰）是个电话接线员,结束了白天的枯燥工作，晚上和她的情人流连于洛杉矶的各处换偶夜店。沙龙显然不开心，开始质疑自己不道德的生活方式，直到有一天被一个教派唤醒，她作为一个重生的基督徒开始新的生活……","美国电影,美国,1990s,1991,电影,剧情,悬疑,有生之年1001"
1308123,"红发女郎 赫い髪の女",神代辰巳,荒井晴彦,"宫下顺子,石桥莲司,中村亚湖,绘泽萠子,三谷升,山口美也子,山谷初男,阿藤快,高桥明","剧情,喜剧",日本,1979-02-17(日本),"Akai kami no onna,The Woman with Red Hair",日语,73分钟,5.7,"光造（石桥莲司饰）和孝男（阿藤海饰）是建筑公司加藤组的普通工人，两人合伙侵犯了老板尚为处女的女儿和子（亚湖饰）。和子从最初的耻辱慢慢对他们产生感觉，在两人之间犹豫不决。三个月后，光造与孝男开车外出，在途中搭载了一个神秘的红发女郎（宫下顺子饰），光造将其带回公寓，两人沉浸在无边的欢愉之中。

　　与此同时，和子诊断出怀有身孕，不堪忍受父亲的粗暴，她希望孝男能对她负责并与之一同私奔。光造和红发女郎的恋情承受着世俗的偏见，他们的欢愉也变得愈加狂野……","情色,日本,神代辰巳,日本电影,红发女郎,渴望得到这片子的bt种子,href=""http://www.douban.com/sub,宫下顺子"
1308122,曽根崎心中,增村保造,,"梶芽衣子,宇崎竜童,井川比佐志","剧情,爱情,犯罪",日本,1978-04-29(日本),"Sonezaki shinju,Double Suicide of Sonezaki",日语,"112 分钟",7.1,,"日本,增村保造,梶芽衣子,日本电影,増村保造,1970s,1978,爱情"
1308121,阿凡提二世,吐依贡,,"古孜丽努尔,吐依贡,艾合买提",爱情,中国大陆,NULL,"Afanti er shi",,0,,吐鲁番清真寺广场，王爷的大臣正在吆喝着所有的农民们去御花园做苦工，牵着毛驴路过这里的毛拉翟丁也被带到了王爷的御花园。工地上，劳工们在烈日下运石料，而税务官瓦里汗正神气活现地挥舞着皮鞭。毛拉翟丁为穷苦的农民唱起了歌，引起了王爷的注意，他被带到王爷面前。他的幽默与聪明使王爷格外高兴，于是宣布免去毛拉翟丁的劳役，并可自由出入王宫。毛拉翟丁借机席卷桌上的食品，请花园的劳工们饱餐一顿。这遭到了马木提、伊敏司库等大臣们的嫉恨，他们寻找机会捉弄毛拉翟丁……,"中国电影,阿凡提,★搞笑,新疆,爱情"
1308120,暗战2,杜琪峰,欧健儿,"郑伊健,刘青云,林熙蕾,许绍雄,林雪,黄卓玲,罗永昌","动作,犯罪",香港,2001-12-27(香港),"Running Out Of Time 2,Am zin 2",粤语,95分钟,6.5,"高级督察何尚生（刘青云）被劫持人质的劫匪伊健（郑伊健）点名到案发现场进行谈判，眼见伊健在现场的嚣张，何尚生斗意昂扬欲将其拿下，但被其逃脱。挫败激起何尚生的战意和好奇心，开始同伊健玩起“取赎金的游戏”来。

　　何尚生收到伊健寄来的数件艺术品的残骸，在国际刑警Ruby（黄卓玲）的帮助下发现被破坏艺术品均在同一间国际级保险公司承保，猜想伊健意图勒索该保险公司，遂前往展开调查，而此时伊健恰好致电该公司高层Teresa（林熙蕾）勒索一千万，尚生即刻接手案件，却发现事情远非想象的那么简单。","杜琪峰,香港,刘青云,香港电影,郑伊健,惊险,银河映像,动作"
1308119,黑山路,"周晓文   Xiaowen Zhou","周晓文   Xiaowen Zhou","艾丽娅   Ailiya,谢园   Yuan Xie,赵小锐   Xiaorui Zhao",剧情,中国大陆,1994,"Hei shan lu,Black Mountain",汉语普通话,0,,一群以龚大哥为首的挑夫经过一座山的山口时，被山里庙中的老男人袭击，双方一场恶斗，龚伤了脚腕。众挑夫把龚抬到庙里，挑夫小六子嘱咐女人照顾好龚。不久，小六子身负重伤的回来，报告东洋鬼子已经进山并抓走众兄弟的消息。龚出去为小六子采药，回来却发现小六子和女人抱在一起，龚十分愤怒。东洋鬼子已经来了，龚发誓要挡他们的道。女人也跟着来到了战斗中，却不幸被打死，小六子向龚报告了女人的死讯，与龚一起冲向火海。,"黑山路,D周晓文,周晓文,中国电影,中国,艾丽娅,谢园,赵小锐"
1308118,"别有洞天 Holes",安德鲁·戴维斯,"Louis Sachar","希亚·拉博夫,西格妮·韦弗,强·沃特,蒂姆·布雷克·尼尔森,科里奥·托马斯","剧情,喜剧,爱情,悬疑,家庭,西部,冒险",美国,2003-04-18,洞,英语,"117 分钟",7.7,"因为一双运动鞋，斯坦利（AllanKolman饰）被关进了德克萨斯州的拘留所之中，尽管斯坦利实则无辜，但他祖上遗留下来的坏运气让他毫无疑问地遭受到了并不公正的审判。为了逃脱牢狱之灾，斯坦利选择了前往德州绿湖营进行劳动改造，然而，着却正是他噩梦的开始。

　　绿湖营位于一片茫茫的沙漠之中，这里的管理员将来这里劳动改造的孩子们视为奴隶，处处苛责刁难，甚至布置了一个看似毫无意义的任务——在已经干涸的河床上挖洞。很快，斯坦利便开始怀疑，管理员的这一要求背后隐藏着某些不可告人的秘密，一批传说中埋在河床里的宝藏随之浮出了水面，而这批宝藏和斯坦利的家族亦有着千丝万缕的关联。","美国,喜剧,童年,美国电影,别有洞天,剧情,灵异,2003"
1308117,"富江最终章 富江 最終章 -禁断の果実-",中原俊,藤岡美暢,"安藤希,宫崎葵",恐怖,日本,2002-06-29,,日语,"91 分钟",5.8,"羞涩内向的女高中生桥本登美惠（宫崎葵饰）母亲早逝，十年来她与父亲和彦（国村隼饰）相依为命。登美惠因性格原因在学校没有朋友，还经常受到欺负，她只能躲在自己的世界里，幻想着某一天成为著名的小说家。

　　一个转学生的到来改变了登美惠的生活。她叫富江（安藤希饰），神秘、美丽，具有令人无法拒绝的魅力。个性开朗的富江很快和登美惠成为好朋友。在朋友的邀请下，富江来到登美惠的家中做客，然而和彦却为富江的容貌所震惊。因为她竟和自己当年的初恋情人长的一模一样……","恐怖,日本,宫崎葵,富江,伊藤润二,日本电影,惊悚,2002"
1308116,"梦想起飞的季节 Une hirondelle a fait le printemps",克里斯蒂安·卡西雍,克里斯蒂安·卡西雍,"Mathilre Seigner,米歇尔·塞罗,让-保罗·罗斯里昂","剧情,喜剧,爱情",法国,2001-09-05,"The Girl From Paris",法语,"103 分钟",7.2,"桑德琳是个与众不同的巴黎女子，身为电脑工程师，她坐拥高薪，令人艳羡！然而刚满30岁时，她做了一生中最重大的抉择，她决心把巴黎和名利抛在身后，只身前往法国东南部的隆河阿尔卑斯山省，在一座与世隔绝的山区农场定居下来。因为长久以来，她总是梦想成为一名农场经营者。她再也无法抗拒大自然的呼唤，对她而言，这一切总算开始了。

　　这座农场的老主人安德利翁，是一个满头白发的农夫，由于年老体衰，不得不出售他的农场，可是他却一点也不想传承自己的技术与经验，尤其不想指导、帮忙这位来自都市的“巴黎人”！安德利翁讨厌旧事重演……每次都出现3分钟热度的学习者，没多久就落跑，辜负他一片苦心和满腔热情。

　　独自奋斗的桑德琳，一方面照料羊舍和老旧的民宿小屋，另一方面运用专业知识架设网站，行销她命名的“空中露台”观光农场，她以崭新的方式经营管理，同时注入了青春生命力。这些改造变化，安德利翁看...","法国,法国电影,梦想起飞的季节,2001,剧情,生活,法國電影,歐洲電影"
1308115,此情可问天,宋存壽,,"林凤娇,秦汉",NULL,台湾,NULL,"Ask My Love from God",汉语普通话,0,,"《此情可問天》應是宋存壽後期作品成就最高的一部。本片改編自郭良蕙的小說「春盡」，女主角沈白芙（林鳳嬌）表面上與公司同事陳雲程（秦漢）交往，雲程也把白芙當作未來的終身伴侶，可是白芙若即若離，捉摸不定。原來她心中真正愛慕的對象是姊夫萬光宇（江明）。在姊姊離去後，白芙就與姊夫相依為命，她用盡心力籌錢讓罹患肝病的姊夫進療養院養病，完全疏忽雲程，以致於不歡而散。沒想到進療養院此舉，卻促成姊夫認識鄰床病童的寡母。當姊夫告知她將再娶的消息時，白芙的世界也為之毀滅，她選擇了自殺。當雲程前來祭弔，卻被萬光宇狠狠揍了一頓給趕出去，後悔不已的雲程，也以為是他害死了白芙。

　　台灣電影史上恐怕再難找出比本片更晦暗的愛情電影了，全片沒有一個壞人，卻在無形中彼此殺死對方。一向在銀幕上予人賢淑恭良形象的林鳳嬌，依然扮演著韌性堅強的傳統舊女性，固執沈默地用奉獻代替追求。然而宋存壽的鏡頭...","台灣,愛情,林凤娇,爱情火辣辣,此情可問天,1970s,台湾电影,中国电影"
1308114,愈堕落，愈英雄,霍耀良,王晶,"方中信,周海媚,陈锦鸿,冯德伦","剧情,动作,同性,犯罪",香港,NULL,"越堕落越英雄,Cheap Killers",粤语,99分钟,7.3,"冷森（方中信饰）和一条（陈锦鸿饰）是情同手足的好兄弟，两人同为被黑帮雇佣的金牌杀手，干得尽是一些灭迹灭口的脏活。平日里，一条向来大大咧咧风风火火，某日，他遇见了名为阿玲（周海媚饰）的美艳女子，少不更事的他情不自禁地被阿玲深深迷住，以至于将冷森的告诫抛之脑后。

　　果然不其然，阿玲最终成为了黑社会大佬方平的女人，她不仅背叛了一条，还导致一条和冷森遭到仇敌的追杀，一时间命悬一线。一场意外让一条身负重伤精神失常，冷森不仅带他逃脱，还在余下的日子里精心地照顾着他，随着时间的推移，两人之间的情谊愈发深厚。就在此时，方平的爪牙再度找上门来，恶战在即。","香港,方中信,香港电影,陈锦鸿,周海媚,冯德伦,同志,1998"
1308113,"又快又贱又失控 Fast, Cheap & Out of Control","埃罗尔 莫里斯 (Errol Morris)",,NULL,纪录片,美国,1997-09-07,快速、廉价和失控,英语,"80 分钟",8.0,"驯兽师戴维•胡佛（DaveHoover）、园艺师乔治•蒙德卡（GeorgeMendonça）、鼹鼠专家雷•门兹（RaymondA.Mendez）、机器人发明家罗德尼•布洛克斯（RodneyBrooks），这四个看起来全不搭调的人被聚集在同一个影片中。他们畅谈自己的人生、工作以及点点滴滴的感悟，这四个似乎风马牛不相及的行业，隐约却又有着些许关联。

　　本片荣获1997年波士顿影评人协会奖最佳纪录片奖、1998年弗罗里达影评人协会奖最佳纪录片奖、1998年独立精神奖真实奖、1998年堪城影评人协会奖最佳纪录片奖、1998年美国国家影评人协会奖最佳纪录片奖、1997年纽约影评人协会奖最佳纪录片奖、1997年得州影评人协会奖最佳纪录片奖。","纪录片,美国,1997,美国电影,Errol_Morris,ErrolMorris,埃罗尔.莫里斯,Documentary"
1308112,"身陷黑幕 The Thin Blue Lie (TV)","Roger Young","Daniel Helfgott",罗伯·莫洛,剧情,美国,2000-08-13,,,0,,,"RobMorrow,美国电影"
1308111,"钟无艳 鐘無艷",杜琪峰,,"郑秀文,梅艳芳,张柏芝,黄浩然,林雪,王天林,许绍雄","喜剧,奇幻",香港,2001-01-18(香港),"Chung mo yim",粤语,123分钟,6.7,春秋战国时期，一向昏庸好色的齐宣王（梅艳芳饰）误闯夜叉山，碰上了美丽的寨主钟无艳（郑秀文饰），齐宣王决定把钟无艳娶为皇后，可是一直倾心于钟无艳的“狐狸精”（张柏芝饰）出手阻挠，只要钟无艳爱上其他的人，脸上便会无缘无故多出一块难看的红斑。狐狸精后来化身夏迎春勾引齐宣王，齐宣王终日沉醉温柔乡。而钟无艳为了夫君出生入死、南征北战。齐宣王只会有事求助于钟无艳时才好言相向。齐宣王十分好赌，竟然把钟无艳作为作为筹码输掉了，钟无艳愤怒离开，脸上红斑也自然消失。夏迎春得逞后也离开了皇宫，齐宣王才发现自己最爱为何人，浪子回头。在受到叛徒攻击时，还是爱着齐宣王的钟无艳，赶到了皇宫，帮忙驱走外敌……,"香港,香港电影,喜剧,梅艳芳,郑秀文,杜琪峰,张柏芝,爱情"
1308110,"飞龙再生 飛龍再生",陈嘉上,张坚庭,"成龙,克莱尔·弗兰妮,李·伊万斯,黄秋生,钟丽缇,刘兆铭,谢霆锋,陈冠希,张坚庭","喜剧,动作,惊悚,奇幻","香港,美国",2003-08-15(香港),"免死金牌,The Medallion",英语,"88 分钟",5.8,"《飞龙再生》由英皇多媒体集团（EMG）投资及制作，制作经费高达3亿港元，破香港影坛纪录。

　　传说只要得到“再生龙章”的力量，死后便变成永远不灭的“不死人”。国际人蛇集团主脑“蛇魔”要绑架神秘华籍小孩Jai，其手下李斯（黄秋生饰）与香港特警阿狄（成龙饰）两度交锋，最终掳走Jai。阿狄远赴爱尔兰追捕李斯，在前女友妮歌（克莱尔·弗兰妮ClaireForlani饰）穿针引线下，到英国与屈逊（李·伊万斯LeeEvans饰）再度携手合作。

　　查得李斯的货船抵达码头，众人一番混战后，舍身保住Jai的性命，自己却被淹死。而Jai身上的铁章却让另一个阿狄出现，并且拥有伤口瞬间自愈的能力，而且自己已经拥有超乎常人的体能。但“蛇魔”再次将Jai掳去并夺去他的“龙章”，获得了再生力量，超能力已超越阿狄……","成龙,动作,香港,香港电影,喜剧,美国,2003,陈嘉上"
